AREA|POLITICA|PROGRAMA|DESCRIPCION
4|45|45I|PLANIFICACION ESTRATEGICA
4|45|45J|PATRIMONIO HISTORICO
4|45|45K|INSTITUCIONES E INDUSTRIAS CULTURALES
4|45|45L|INFRAESTRUCTURAS CULTURALES
4|46||DEPORTE
4|46|46A|INFRAESTRUCTURA CENTROS Y ORDENACION DEPORTIVA
4|46|46B|ACTIVIDADES Y PROMOCION DEL DEPORTE
5|||PRODUCCION DE BIENES PUBLICOS DE CARACTER ECON.
5|51||INFRAESTRUCTURAS BASICAS Y TRANSPORTES
5|51|51A|D.Y S. GRALES. DE FOMENTO Y VIVIENDA
5|51|51B|MOVILIDAD E INFRAESTRUCTURAS VIARIAS Y DE TRANSP.
5|51|51D|ACTUACIONES EN MATERIA DE AGUA
5|51|51F|ACTUACIONES EN MATERIA DE AGUA EN LA CUENCA ATL
5|51|51G|INVESTIGACION, DESARROLLO E INNOVACION EN MATER
5|51|51H|CUENCA DEL GUALDALQUIVIR
5|52||COMUNICACIONES
5|52|52A|COORDINACION DE LA SOCIEDAD DE LA INFORMACION
5|52|52B|SISTEMAS DE INFORMACION Y COMUNICACION
5|52|52C|COMUNICACION SOCIAL
5|54||INVESTIGACION, INNOVACION Y SOCIEDAD DEL CONOC.
5|54|54A|INVESTIGACION CIENTIFICA E INNOVACION
5|54|54B|SERVICIOS TECNOLOGICOS Y PARA LA SOCIEDAD DE LA
5|54|54C|INNOVACION Y EVALUACION EDUCATIVA
5|54|54D|INVESTIG., DESARROLLO Y FORMACION AGRARIA Y PESQ.
5|54|54E|CARTOGRAFIA Y SISTEMAS DE INFORMACION GEOGRAFIC
5|54|54F|ELABORACION Y DIFUSION ESTADISTICA Y CARTOGRAF.
5|54|54G|APOYO A LA INCORPORACION DE ACTIVOS DEL CONOCIM
5|54|54H|D.Y S. GRALES. DE ECONOMIA, INNOV. Y CIENC.
5|54|54I|TELECOMUNICACIONES Y SOCIEDAD DE LA INFORMACIï¿½N
5|54|54J|INVESTIGACION TECNOLOGICA
6|||REGULACION ECONOMICA DE CARACTER GENERAL
6|61||REGULACION ECONOMICA
6|61|61A|D.Y S.GRALES.  DE HACIENDA Y ADMON. PUBLICA
6|61|61B|POLITICA ECONOMICA
6|61|61D|POLITICA PRESUPUESTARIA
6|61|61E|CONTROL INTERNO Y CONTABILIDAD PUBLICA
6|61|61F|GESTION DE LA TESORERIA
6|61|61G|GESTION Y ADMON. DEL PATRIMONIO DE LA CA
6|61|61H|FINANCIACION, TRIBUTOS Y JUEGO
6|61|61I|GESTION DE TECNOLOGIAS CORPORATIVAS
6|61|61J|D.Y S.GRALES DE ECONOMIA, INNOVAC., CIENCIA Y EMP.
6|61|61K|COORDINACION DE FONDOS EUROPEOS
6|61|61L|COORDINACION Y CONTROL DE LA HACIENDA DE LA CA
6|61|61M|COORD. POLï¿½T. FRA, TESOR., ENDEUD. Y PATRIM. CAA
6|61|61N|DEFENSA DE LA COMPETENCIA
6|61|61O|INTERNACIONALIZACION DE LA ECONOMIA ANDALUZA
6|61|61P|DESARROLLO ECONOMICO Y EMPRESARIAL
6|61|61Q|INSTRUMENTOS FINANCIEROS DE REESTRUCTURACION
6|61|61R|SERVICIOS CORPORATIVOS Y DE TELECOMUNICACIONES
6|63||REGULACION FINANCIERA
6|63|63A|REGULACION Y COOPERACION CON INSTITUC. FINANC.
6|63|63B|IMPREVISTOS Y FUNCIONES NO CLASIFICADAS
7|||REG. ECONOMICA DE LA ACTIV. Y LOS SECT. PRODUCT.
7|71||AGRICULTURA, GANADERIA Y PESCA
7|71|71A|D.Y S. GRALES. DE AGRICULTURA, PESCA Y DES. RURAL
7|71|71B|ORDENAC. Y MEJORA DE LA PRODUC. AGRICOLAC Y GANADERA
7|71|71C|REFORMA Y MEJORA DE LAS ESTRUCTURAS AGRARIAS
7|71|71E|INCENTIVACION DEL SECTOR AGROINDUSTRIAL
7|71|71F|APOYO AL SECTOR PRODUCTOR AGRICOLA Y GANADERO
7|71|71H|DESARROLLO RURAL
7|71|71K|AYUDAS DEL FONDO ANDALUZ DE GARANTIA AGRARIA
7|71|71P|PESCA
7|71|71X|GESTION AGRARIA Y PESQUERA
7|72||FOMENTO EMPRESARIAL
7|72|72A|ENERGIA E INFRAESTRUCT. Y SVOS. TECNOLOGICOS
7|72|72B|BENEFICIOS E INCENTIVOS ECONOMICOS
7|72|72C|EMPRENDEDORES E INTERNAC. DE LA ECONOMIA ANDAL.
7|72|72S|FONDO DE ECONOMIA SOSTENIBLE PARA ANDALUCIA
7|73||ENERGIA Y MINERIA
7|73|73A|PLANIFIC., DES. ENERGETICO Y FOMENTO DE LA MINERIA
7|74||MINERIA
7|74|74A|FOMENTO DE LA MINERIA
7|75||TURISMO
7|75|75A|D.Y S. GRALES. DE TURISMO Y COMERCIO
7|75|75B|PLANIFICACION, ORDENACION Y PROMOCION TURISTICA
7|75|75D|CALIDAD, INNOVACION Y FOMENTO DEL TURISMO
7|76||COMERCIO
7|76|76A|ORDENACION Y PROMOCION COMERCIAL
8|||RELACIONES CON OTRAS ADMINISTRACIONES
8|81||RELACIONES CON LAS CORPORACIONES LOCALES
8|81|81A|COOP. ECONOMICA Y COORDINACION CON LAS CC.LL.
8|81|81B|COOPERACION ECONOMICA Y RELAC.  FINANCIERAS CC.LL.
8|81|81C|ACTUACIONES INTEGRADAS
8|82||RELACIONES CON LA UE. Y AYUDAS AL DESARROLLO
8|82|82A|ACCION EXTERIOR
8|82|82B|COOPERACION PARA EL DESARROLLO
