CIF,COD_ENTE1,COD_ENTE2,COD_ENTE3,COD_ENTE4,COD_ENTE5,COD_ENTE6,Entidad Local,Cif dependiente,COD_ENTE1_DEP,COD_ENTE2_DEP,COD_ENTE3_DEP,COD_ENTE4_DEP,COD_ENTE5_DEP,COD_ENTE6_DEP,DEPENDIENTE,SECTORIZACION,     Fecha sectorización,Participación mayoritaria
P3100600J,14,31,006,A,A,000,Ablitas                                                               ,G31513260,14,00,004,C,C,000,C. Estrategias Desar. Ribera de Navarra (EDER)                        , ,,
P3100600J,14,31,006,A,A,000,Ablitas                                                               ,G31535321,14,00,007,C,C,000,C. Turístico de Tierra Estella                                        , ,,
P3100800F,14,31,008,A,A,000,Aguilar de Codés                                                      ,G31590219,14,00,001,N,N,000,Asoc. Tierra Estella Desarrollo Rural TEDER                           ,,,
P3100800F,14,31,008,A,A,000,Aguilar de Codés                                                      ,G31535321,14,00,007,C,C,000,C. Turístico de Tierra Estella                                        , ,,
P3100900D,14,31,009,A,A,000,Aibar/Oibar                                                           ,G31372063,14,00,003,N,N,000,Asoc. Cederna-Garalur                                                 , ,,
P3101000B,14,31,010,A,A,000,Altsasu/Alsasua                                                       ,G31372063,14,00,003,N,N,000,Asoc. Cederna-Garalur                                                 , ,,
P3101000B,14,31,010,A,A,000,Altsasu/Alsasua                                                       ,G31213598,14,31,010,A,V,001,P. M. Música                                                          ,AAPP,30/11/2007,
P3101000B,14,31,010,A,A,000,Altsasu/Alsasua                                                       ,G31282643,14,31,010,A,V,003,Res. Ancianos Aita                                                    ,AAPP,30/11/2007,
P3101100J,14,31,011,A,A,000,Allín/Allin                                                           ,G31590219,14,00,001,N,N,000,Asoc. Tierra Estella Desarrollo Rural TEDER                           ,,,
P3101100J,14,31,011,A,A,000,Allín/Allin                                                           ,G31535321,14,00,007,C,C,000,C. Turístico de Tierra Estella                                        , ,,
P3101200H,14,31,012,A,A,000,Allo                                                                  ,G31590219,14,00,001,N,N,000,Asoc. Tierra Estella Desarrollo Rural TEDER                           ,,,
P3101200H,14,31,012,A,A,000,Allo                                                                  ,G31535321,14,00,007,C,C,000,C. Turístico de Tierra Estella                                        , ,,
P3101200H,14,31,012,A,A,000,Allo                                                                  ,B31827926,14,31,012,A,P,001,"S. Urbanistica Municipal de Allo, S.L.U.                              ", ,,S
