Tipo de Ente,Código de Ente,Nombre,CIF,Alta Desde
SOCIEDADES MERCANTILES,01-00-000-B-P-048,"Infraestructuras Turísticas Andalucía, S.A. (INTASA)",A91252155,17/02/2003
SOCIEDADES MERCANTILES,01-00-000-B-P-054,"Inversión y Gestión de Capital Riesgo de Andalucía, S.A. (INVERCARIA)",A91442350,25/04/2005
SOCIEDADES MERCANTILES,01-00-000-B-P-055,"Tecno Bahía, S.L.",B11766474,27/02/2004
SOCIEDADES MERCANTILES,01-00-000-B-P-057,"Parque Tecnológico y Aeronáutico de Andalucía, S.L. (Aerópolis)",B91225367,04/09/2002
SOCIEDADES MERCANTILES,01-00-000-B-P-059,"GEOLIT, Parque Científico y Tecnológico, S.A.",A23427966,15/05/2000
SOCIEDADES MERCANTILES,01-00-000-B-P-062,"UPO-GEST, S.L.U.",B91325498,26/04/2004
SOCIEDADES MERCANTILES,01-00-000-B-P-064,"Corporación Empresarial de la Universidad de Córdoba, S.A.",A14487961,07/01/1998
SOCIEDADES MERCANTILES,01-00-000-B-P-066,"Ucoidiomas, S.L.",B14534739,26/08/1999
SOCIEDADES MERCANTILES,01-00-000-B-P-067,"Ucodeporte, S.L.",B14563035,10/08/2000
SOCIEDADES MERCANTILES,01-00-000-B-P-068,"Hospital Clínico Veterinario de la Universidad de Córdoba, S.L.",B14575237,22/01/2001
SOCIEDADES MERCANTILES,01-00-000-B-P-070,"Formación y Gestión de Granada, S.L.",B18432583,12/03/1997
SOCIEDADES MERCANTILES,01-00-000-B-P-071,"La Bóveda de la Universidad, S.L.",B18509877,02/07/1999
SOCIEDADES MERCANTILES,01-00-000-B-P-072,"Sociedad de Gestión, Financiación e Inversión Patrimonial, S.A.",A91849125,09/03/2010
SOCIEDADES MERCANTILES,01-00-000-B-P-074,"EUROCEI, Centro Europeo de Empresas e Innovación, S.A. en liquidación",A41416710,24/10/1990
SOCIEDADES MERCANTILES,01-00-000-B-P-075,Empresa Pública de Gestión de Activos S.A. (AGESA),A28784957,19/03/2010
SOCIEDADES MERCANTILES,01-00-000-B-P-080,"Parque Dunar de Doñana, S.L.",B21332226,15/04/2002
SOCIEDADES MERCANTILES,01-00-000-B-P-081,Metro de Granada S.A,A18952374,15/02/2011
SOCIEDADES MERCANTILES,01-00-000-B-P-082,Parque de Innovación Empresarial Sanlucar la Mayor S.A (SOLAND),A91848838,19/04/2010
SOCIEDADES MERCANTILES,01-00-000-B-P-083,E. Pública para la Gestión del Turismo y el Deporte de Andalucía S.A,A93090744,21/12/2010
SOCIEDADES MERCANTILES,01-00-000-B-P-084,"Inver. Gest. y Desarrollo de Cap. Riesgo de Andalucía, S.G.E.C.R. S.A",A91814244,04/06/2009
SOCIEDADES MERCANTILES,01-00-000-B-P-086,"01 Innova 24H, S.L.U",B91805655,19/03/2009
SOCIEDADES MERCANTILES,01-00-000-B-P-088,1908 Puerto de Motril AIE (Motrilport),G18862987,16/05/2008
SOCIEDADES MERCANTILES,01-00-000-B-P-089,"Parque Científico y Tecnológico de Huelva, S.A.",A21462288,06/08/2012
UNIVERSIDADES,01-00-000-B-W-001,Universidad de Almería,Q5450008G,07/07/1993
UNIVERSIDADES,01-00-000-B-W-002,Universidad de Cádiz,Q1132001G,01/07/1986
UNIVERSIDADES,01-00-000-B-W-003,Universidad de Córdoba,Q1418001B,01/07/1986
UNIVERSIDADES,01-00-000-B-W-004,Universidad de Granada,Q1818002F,01/07/1986
UNIVERSIDADES,01-00-000-B-W-005,Universidad de Huelva,Q7150008F,07/07/1993
UNIVERSIDADES,01-00-000-B-W-006,Universidad de Jaén,Q7350006H,07/07/1993
UNIVERSIDADES,01-00-000-B-W-007,Universidad de Málaga,Q2918001E,01/07/1986
UNIVERSIDADES,01-00-000-B-W-008,Universidad Pablo de Olavide,Q9150016E,04/07/1997
UNIVERSIDADES,01-00-000-B-W-009,Universidad de Sevilla,Q4118001I,01/07/1986
UNIVERSIDADES,01-00-000-B-W-010,Universidad Internacional de Andalucia,Q7350007F,06/05/1994
MULTICOMUNIDAD,50-00-003-C-C-000,Consorcio para la presencia y promoción del Alberguismo juvenil (REAJ),V82823337,26/06/2000
MULTICOMUNIDAD,50-00-013-H-H-000,F. Universitaria para la Cooperación Internacional (FUCI),,22/10/2003
MULTICOMUNIDAD,50-00-012-H-H-000,Fundación Consejo España-China,G83997460,21/06/2004
MULTICOMUNIDAD,50-00-011-H-H-000,CENATIC,G06495386,19/06/2007
MULTICOMUNIDAD,50-00-005-H-H-000,F. Privada Triptólemos para el Desarrollo Agroalimentario,G62809819,13/04/2005
MULTICOMUNIDAD,50-00-001-H-H-000,Fundación Univespaña,,30/12/1999
MULTICOMUNIDAD,50-00-002-N-N-000,Conferencia de Rectores de las Universidades Españolas (CRUE),G81093072,14/12/1994
MULTICOMUNIDAD,50-00-004-N-N-000,Federación de Organismos o Entid. de Radio y Telev. Autonóm. (FORTA),G79362133,05/04/1989
MULTICOMUNIDAD,50-00-000-X-P-004,SIGMA Gestión Universitaria A.I.E.,G61213641,19/02/1997
