"Provincia";"CdMun";"Municipio";"Extensión superficial. 2015";"Altitud sobre el nivel del mar. 2015";"Número de núcleos que componen el municipio. 2014";"Perímetro. 2015";"Coordenadas del núcleo principal. 2015";"Población total. 2014";"Población. Hombres. 2014";"Población. Mujeres. 2014";"Población en núcleos. 2014";"Población en diseminados. 2014";"Porcentaje de población menor de 20 años. 2016";"Porcentaje de población mayor de 65 años. 2014";"Incremento relativo de la población en diez años. 2014";"Número de extranjeros. 2014";"Principal procedencia de los extranjeros residentes. 2014";"Porcentaje que representa respecto total de extranjeros. 2014";"Emigraciones. 2013";"Inmigraciones. 2013";"Nacidos vivos por residencia materna. 2013";"Defunciones por lugar de residencia. 2013";"Matrimonios de distinto sexo por lugar donde fijan la residencia. 2013";"Centros de educación de adultos. 2012";"Bibliotecas públicas. 2012";"Centros de salud. 2012";"Consultorios. 2012";"Viviendas familiares principales. 2011";"Viviendas destinadas a alquiler. 2012";"Viviendas destinadas a la venta. 2012";"Viviendas rehabilitadas. 2012";"Transacciones inmobiliarias. 2013";"Número de pantallas de cine. 2014";"Centros en los que se imparte Educación Infantil. 2012";"Centros en los que se imparte Educación Primaria. 2012";"Centros en los que se imparte Enseñanza Secundaria Obligatoria. 2012";"Centros en los que se imparte Bachillerato. 2012";"Centros  en los que se imparten Ciclos Formativos de Grado Medio. 2012";"Centros  en los que se imparten Ciclos Formativos de Grado Superior. 2012";"Superficie dedicada a cultivos herbáceos. 2013";"Principal cultivo herbáceo de regadío. 2013";"Principal cultivo herbáceo de regadío: Has. 2013";"Principal cultivo herbáceo de secano. 2013";"Principal cultivo herbáceo de secano: Has. 2013";"Superficie dedicada a cultivos leñosos. 2013";"Principal cultivo leñoso de regadío. 2013";"Principal cultivo leñoso de regadío: Has. 2013";"Principal cultivo leñoso de secano. 2013";"Principal cultivo leñoso de secano: Has. 2013";"Sin empleo conocido. 2013";"Hasta 5 asalariados. 2013";"Entre 6 y 19 asalariados. 2013";"De 20 y más asalariados. 2013";"Total establecimientos. 2013";"Vehículos turismos. 2013";"Autorizaciones de transporte: taxis. 2013";"Autorizaciones de transporte: mercancías. 2013";"Autorizaciones de transporte: viajeros. 2013";"Vehiculos matriculados. 2014";"Vehiculos turismos matriculados. 2014";"Hoteles. 2013";"Hostales y pensiones. 2013";"Plazas en hoteles. 2013";"Plazas en hostales y pensiones. 2013";"Actividad 1. 2013";"Actividad 2. 2013";"Actividad 3. 2013";"Actividad 4. 2013";"Actividad 5. 2013";"Inversiones realizadas en nuevas industrias. 2012";"Oficinas bancarias. 2013";"Consumo de energía eléctrica (Endesa). 2013";"Consumo de energía eléctrica residencial (Endesa). 2013";"Líneas telefónicas. 2013";"Líneas ADSL en servicio. 2013";"Paro registrado. Mujeres. 2013";"Paro registrado. Hombres. 2013";"Paro registrado. Extranjeros. 2013";"Contratos registrados. Mujeres. 2013";"Contratos registrados. Hombres. 2013";"Contratos registrados. Indefinidos. 2013";"Contratos registrados.Temporales. 2013";"Contratos registrados. Extranjeros. 2013";"Trabajadores eventuales agrarios subsidiados. Mujeres. 2013";"Trabajadores eventuales agrarios subsidiados. Hombres. 2013";"Presupuesto liquidado de ingresos. 2013";"Presupuesto liquidado de gastos. 2013";"Ingresos por habitante. 2013";"Gastos por habitante. 2013";"IBI de naturaleza urbana. Número de recibos. 2013";"IBI de naturaleza rústica. Número titulares catastrales. 2014";"Número de parcelas catastrales: Solares. 2013";"Número de parcelas catastrales: Parcelas edificadas. 2013";"Número de declaraciones. 2012";"Rentas del trabajo. 2012";"Rentas netas de actividades económicas en estimación directa. 2012";"Rentas netas de actividades económicas en estimación objetiva. 2012";"Otro tipo de rentas. 2012";"Renta neta media declarada. 2012";"Situaciones de alta en actividades empresariales. 2013";"Situaciones de alta en actividades profesionales. 2013";"Situaciones de alta en actividades artísticas. 2013"
"Almería";"04088";"Tabernas ";280,4;404;1;71727,62;"37.049138,-2.39523";3646;1894;1752;3113;533;17,99;17,99;14,65;774;"Rumanía";63,7;151;121;25;34;10;0;1;1;0;1459;0;0;15;19;0;2;1;1;0;0;0;583;"Lechuga ";50;"Cereales de invierno para forrajes";200;2462;"Olivar aceituna de aceite ";1830;"Olivar aceituna de aceite ";269;100;82;19;4;205;1827;3;52;3;39;31;1;3;41;50;"Sección G: 50 establecimientos";"Sección I: 33 establecimientos";"Sección C: 20 establecimientos";"Sección F: 19 establecimientos";"Sección H: 18 establecimientos";986180;3;17092;4433;1223;522;200;277;85;656;858;32;1482;336;113;24;2321498,46;2215491,8;628,11;1558,01;2832;1707;338;2051;1197;9279259,51;498158,31;494507,96;391997,97;8908,88;339;17;0
"Almería";"04089";"Taberno ";44,1;701;6;36115,82;"37.465953,-2.07488";1029;509;520;785;244;12,93;30,71;-4,81;184;"Reino Unido";76,63;40;32;3;9;4;0;1;0;1;475;0;0;11;3;0;1;1;1;0;0;0;23;"Patata media estación";3;"Cereales de invierno para forrajes";5;1018;"Olivar aceituna de aceite ";35;"Almendro";933;26;16;3;0;45;507;1;15;5;16;11;0;1;0;24;"Sección G: 16 establecimientos";"Sección I: 9 establecimientos";"Sección H: 7 establecimientos";"Sección F: 4 establecimientos";"Sección K: 2 establecimientos";0;1;1973;1251;189;39;28;42;2;72;70;3;139;3;19;11;748877,78;818427,09;662,72;575,55;888;1707;148;693;367;2522459,09;87130,14;273127;63912,77;8028,96;74;2;0
"Almería";"04090";"Tahal ";94,8;1012;2;59964,22;"37.228029,-2.28527";396;206;190;345;51;9,09;27,78;2,86;54;"Rumanía";68,52;97;17;0;4;;0;0;0;1;229;0;0;2;2;0;1;1;1;0;0;0;81;"Tomate ";60;"Cebada ";8;1286;"Olivar aceituna de aceite ";365;"Almendro";804;14;8;3;1;26;234;0;6;10;4;3;0;0;0;0;"Sección G: 8 establecimientos";"Sección F: 5 establecimientos";"Sección I: 3 establecimientos";"Sección Q: 3 establecimientos";"Sección C: 2 establecimientos";0;2;2920;662;54;0;13;18;9;125;173;2;293;176;6;3;624999,29;467377,28;1417,23;328,68;387;1045;47;337;88;569145,27;61124,72;"se";"se";8132,69;35;3;0
"Almería";"04091";"Terque ";15,7;278;1;39953,89;"36.984674,-2.59672";440;221;219;420;20;10,23;30,45;-3,72;32;"Rumanía";50;16;11;3;8;1;0;1;0;1;204;0;0;2;4;0;0;0;0;0;0;0;7;"Judía verde ";4;"-";0;141;"Naranjo ";84;"Almendro";20;17;5;3;0;25;210;0;0;0;2;2;0;0;0;0;"Sección G: 6 establecimientos";"Sección C: 3 establecimientos";"Sección I: 3 establecimientos";"Sección N: 3 establecimientos";"Sección Q: 3 establecimientos";0;1;2203;578;127;36;19;20;3;52;87;3;136;13;6;3;527965,04;451235,96;1157,82;317,32;708;429;71;411;158;1437565,42;107442,94;"se";"se";10632,36;28;2;0
"Almería";"04092";"Tíjola ";67,5;681;4;47354,89;"37.345435,-2.43801";3776;1858;1918;3506;270;22,17;17,35;0,56;195;"Rumanía";25,64;121;98;27;43;6;0;1;0;1;1352;0;0;22;13;0;2;1;1;1;1;1;158;"Tomate ";31;"Cebada ";47;1344;"Olivar aceituna de aceite ";547;"Almendro";584;187;103;9;6;305;1874;5;112;12;54;34;0;0;0;0;"Sección G: 96 establecimientos";"Sección F: 39 establecimientos";"Sección C: 29 establecimientos";"Sección M: 26 establecimientos";"Sección I: 20 establecimientos";0;2;8605;4381;1268;567;176;218;25;332;581;30;874;197;43;10;3995478,57;3978617,44;1040,49;2797,9;2755;1227;416;1751;1342;15296191,06;1122008,84;934182,46;464570,1;13276,42;442;36;0
"Almería";"04901";"Tres Villas (Las) ";85,4;687;9;51795,34;"37.135289,-2.71218";583;310;273;544;39;8,4;32,08;-7,75;32;"Rumanía";40,63;28;27;1;6;2;0;0;0;0;292;0;0;6;1;0;0;0;0;0;0;0;10;"Judía verde ";4;"-";0;720;"Olivar aceituna de aceite ";315;"Almendro";321;10;4;3;1;18;298;0;2;0;4;3;0;0;0;0;"Sección F: 3 establecimientos";"Sección L: 3 establecimientos";"Sección Q: 3 establecimientos";"Sección B: 2 establecimientos";"Sección G: 2 establecimientos";0;0;1837;1125;135;27;11;22;4;88;85;2;171;11;17;16;1617691,07;1778087,66;2682,74;1250,41;726;971;66;668;186;1103949,38;"se";"se";"se";7375,64;21;1;0
"Almería";"04093";"Turre ";108;49;6;54228,57;"37.151801,-1.89630";3563;1806;1757;3315;248;17,15;23,94;34,15;1268;"Reino Unido";61,12;220;255;26;41;4;0;1;0;1;1476;4;0;3;89;0;2;1;1;0;0;0;413;"Lechuga ";165;"Cebada ";30;321;"Naranjo ";85;"Olivar aceituna de aceite ";61;131;69;6;0;206;1753;2;24;2;56;51;0;1;0;18;"Sección G: 52 establecimientos";"Sección F: 43 establecimientos";"Sección I: 31 establecimientos";"Sección L: 12 establecimientos";"Sección M: 11 establecimientos";0;2;9559;5983;1232;496;188;216;66;169;237;21;385;158;4;1;3930875,07;3253419,95;992,65;2287,92;3991;1322;591;1614;1079;9353399,19;662475,9;472505,14;451540,57;10138,94;307;21;1
"Almería";"04094";"Turrillas ";39,2;839;1;30032,16;"37.029403,-2.26580";229;131;98;174;55;7,86;27,95;-4,58;19;"Rumanía";42,11;16;7;0;0;1;0;0;0;0;103;0;0;0;0;0;0;0;0;0;0;0;121;"-";0;"Cebada ";50;332;"Olivar aceituna de aceite ";100;"Olivar aceituna de aceite ";189;7;2;1;0;10;122;0;0;0;2;2;0;1;0;9;"Sección G: 4 establecimientos";"Sección F: 2 establecimientos";"Sección H: 2 establecimientos";"Sección I: 1 establecimientos";"Sección Q: 1 establecimientos";0;0;1091;185;23;1;2;10;0;62;35;1;96;1;9;5;566361,22;428300,76;2330,7;301,2;169;472;16;167;30;179196,87;"se";13951,02;"se";21997,82;12;0;0
"Almería";"04095";"Uleila del Campo ";38,7;620;2;27137,82;"37.185273,-2.20433";924;472;452;845;79;14,18;26,19;-4,94;88;"Rumanía";46,59;38;31;5;12;2;0;0;0;1;394;0;0;10;4;0;2;1;1;0;0;0;28;"Tomate ";10;"Cebada ";15;1278;"Olivar aceituna de aceite ";425;"Almendro";698;36;24;4;1;65;482;0;20;0;12;6;0;1;0;11;"Sección G: 22 establecimientos";"Sección C: 12 establecimientos";"Sección F: 10 establecimientos";"Sección I: 5 establecimientos";"Sección H: 4 establecimientos";0;1;2498;1102;322;106;51;56;12;94;151;5;240;44;22;4;739913,46;628918,91;768,34;442,28;705;571;75;566;334;2009471,01;180088,91;243652,42;69285,58;7492,51;109;4;1
"Almería";"04096";"Urrácal ";25,5;735;1;22550,15;"37.393975,-2.36495";312;156;156;270;42;12,18;25,64;-10,86;34;"Reino Unido";61,76;15;8;0;4;;0;1;0;0;134;0;0;8;2;0;0;0;0;0;0;0;5;"Tomate ";2;"-";0;263;"Olivar aceituna de aceite ";115;"Almendro";96;6;3;0;0;9;185;1;2;1;1;0;0;0;0;0;"Sección G: 3 establecimientos";"Sección C: 1 establecimientos";"Sección F: 1 establecimientos";"Sección H: 1 establecimientos";"Sección I: 1 establecimientos";0;0;1025;414;104;39;14;17;2;66;85;0;148;52;8;2;323328,64;277837,61;982,76;195,39;365;419;55;300;118;1096255,32;36200,72;"se";"se";10384,69;11;3;0
